GLIDE_number,Event,Country,Date,Event_Code,Country_Code,Glide_Serial,Comments
EP-2020-000217-VCT,Epidemic,Saint Vincent & The Grenadines,2020-10-20,EP,VCT,2020-000217,"In its latest official bulletin dated 20 October 2020, the Ministry of Health, Wellness and the Environment has confirmed
an increase in reported cases of dengue infection in the country with 1,155 laboratory confirmed cases of dengue fever
recorded and six fatalities. The Hospital Services Programme and the Community Health Services Programme of the Ministry of Health, Wellness and the Environment continue to report increased patients presenting with symptoms consistent with Dengue fever. The last experience in the Saint Vincent and the Grenadines (SVG) islands was in 2012 when 200 cases were reported."
EP-2020-000216-LCA,Epidemic,Saint Lucia,2020-08-26,EP,LCA,2020-000216,"On 26 August 2020, St. Lucia’s Ministry of Health and Wellness declared an outbreak of dengue fever. The Syndromic 
Surveillance report for epidemiological week 42 (dated 22 October 2020) indicated 801 confirmed cases on the island
with a further 333 suspected cases. Dengue serotypes 2 and 3 circulate in St. Lucia, with a third unknown serotype to be confirmed. 26 per cent of cases require hospitalisation. 17 October 2020 saw 3 confirmed dengue-related deaths with a 4th death being investigated by the Caribbean Public Health Agency (CARPHA)."
EQ-2020-000215-TUR,Earthquake,Turkey,2020-10-30,EQ,TUR,2020-000215,"A magnitude 6.6 earthquake hit western province of İzmir, Turkey on Friday October 30, 2:51 pm local time. The European-Mediterranean Seismological Centre said the quake had an epicentre 13 km northeast of the Greek island of Samos. The quake has left severe damage to the structures and infrastructures in different areas of Bornova and Bayraklı regions of the city, pushing the residents to flee in panic into the streets. At least 17 buildings have been reported collapsed and several others damaged. Turkish Interior Ministry announced that earthquake caused 21 lives and injured 799 others."
TC-2020-000214-PHL,Tropical Cyclone,Philippines,2020-10-29,TC,PHL,2020-000214,"On the evening of 27 October, a tropical depression developed over the Western Pacific Ocean, Northwest of Guam. Once inside the Philippine Area of Responsibility (PAR) it will be given local name “Rolly” (GONI). As per the Philippines Atmospheric Geophysical and Astronomical Services Administration (PAGASA) bulletin at 11.00 am today (29 Oct),  GONI had intensified into a severe tropical storm while moving westward, with a maximum sustained winds of 95 km/h near the center and gustiness of up to 115 km/h. It is forecast to enter the eastern boundary of the PAR this afternoon or evening. It is forecast to move generally westward by Saturday evening, then west-northwestward by Sunday as it moves towards Quezon - Aurora area before making landfall on Sunday morning, November 1. It is forecast to reach typhoon category within 24 hours and will continue to intensify while moving over the Philippine Sea. As it moves towards eastern sections of Central Luzon (Region III) and Southern Luzon (Region IVa, Region V), it may bring heavy rains over those areas starting this Friday."
FL-2020-000213-LAO,Flood,Lao People's Democratic Republic,2020-10-21,FL,LAO,2020-000213,"The lower Mekong region (Cambodia, Lao PDR, Thailand and Viet Nam) has been experiencing prolonged heavy rain since 6 October 2020. This is due to the combination of numerous weather systems – the Inter Tropical Convergence Zone combining with cold air as well as tropical storms Linfa and Nangka as well as tropical depression INVEST 94W. The three wind systems made landfall in Viet Nam but brought along heavy rain to the rest of the lower Mekong region. Tropical storm Linfa made landfall on 11 October, tropical storm Nangka made landfall on 14 October whilst tropical depression INVEST 94W made landfall on 16 October.
The rainfall brought by the wind systems exacerbated the flooding in Lao PDR and resulted in widespread flooding and landslides in southern Lao PDR. As of 20 October, 9 districts in 3 provinces were affected by the floods. The affected provinces are Salawan, Savannakhet and Sekong."
FL-2020-000212-KHM,Flood,Cambodia,2020-10-01,FL,KHM,2020-000212,"Since 1 October, Cambodia has experienced heavy rainfall across much of the country. As of 16 October, about 77,020 households in 11 provinces, including Phnom Penh, are reported to have been affected by flash floods. The worst affected are Battambang (38,890 households affected, 1,331 displaced), Pursat (18,365 households affected, 1,891 displaced) and Banteay Meanchey (8,538 households affected, 1,473 displaced)."
FL-2020-000211-VNM,Flood,Viet Nam,2020-10-17,FL,VNM,2020-000211,"Vietnam has witnessed torrential rain due to a tropical depression combined with the cold air movement over the past few days in seven central provinces from Ha Tinh to Quang Ngai have witnessed torrential rain due to a tropical depression combined with the cold air movement. Constant heavy rain has caused water levels in rivers to rise rapidly. Consequently, large-scale flood appeared in the provinces from Ha Tinh to Quang Ngai province, with major floods concentrated in places from Quang Binh to Quang Nam province. Flood on medium and small rivers in Quang Binh, Quang Tri, Thua Thien Hue provinces all reached alert level 2 or 3 and even above level 3. Particularly, historical flood has happened on Hieu River (Quang Tri province) and Bo river (Thua Thien Hue province)."
FL-2020-000210-VNM,Flood,Viet Nam,2020-09-18,FL,VNM,2020-000210,"On 18-21 September, several landslides triggered by flash floods occurred in the mountainous districts of Quang Nam Province (central Vietnam). Damage was reported to houses, at least 10 schools, several main roads and bridges, leaving many communities isolated. The power infrastructure and water network were damaged as well, affecting many families living in the area. Over the next 24 hours, rain and thunderstorms are expected of Quang Nam Province."
OT-2020-000209-AZE,Other,Azerbaijan,2020-09-27,OT,AZE,2020-000209,
FR-2020-000208-SYR,Fire,Syrian Arab Rep,2020-10-08,FR,SYR,2020-000208,"Large scale fires across the coastal regions in Syria have caused at least three deaths and dozens of injuries, with areas in Al Fakhoura, Al Qirdaha, Jableh and Lattakia districts in Lattakia Governorate and Safita district in Tartous Governorate particularly affected. While assessments are ongoing, local authorities report that up to 28,000 households have been directly impacted, including through casualties or medical conditions, with as many as 80 hospitalized due to smoke inhalation. In addition, significant loss of homes, personal possessions and/or livelihoods assets have been reported in some areas. As many as 25,000 people were reported to have displaced. Further, a significant number of households have been impacted due to disruptions in key public services, such as health, water and power supply. To date, an estimated 5,000 hectares of agricultural land, including orchards, olive trees, and greenhouses, and 4,000 hectares of forested land have been destroyed. Assessments are ongoing to determine the full scope of the impact, led by the Syrian Arab Red Crescent (SARC)."
FL-2020-000207-NGA,Flood,Nigeria,2020-10-06,FL,NGA,2020-000207,"On 6 October 2020, flood levels at the hydrological stations monitored in Niamey (Niger Republic) and Malan Ville (Benin Republic) reached the red alert zone due to the intensity of the torrential rainfall and caused flooding in Jigawa, Kebbi, Kwara, Sokoto, and Zamfara state (amongst other states) affecting 91,254 people or 15,209 households. The flood incident was caused by the intensity of the rainfalls at the peak of the flood season and the release of dams located in neighbouring Niger, Cameroon and Benin, which resulted in the Benue and Niger rivers overflowing and affecting communities living along their banks and in surrounding areas."
FL-2020-000206-COD,Flood,Congo Democratic Republic,2020-10-01,FL,COD,2020-000206,"The heavy rains that fell on Thursday, October 1, 2020 at 2 p.m. in the city of Sake and its surroundings in the territory of Masisi, North Kivu province, has caused material damage and loss of life among the population."
VO-2020-000205-ECU,Volcano,Ecuador,2020-09-20,VO,ECU,2020-000205,"Since June 2020, the eruptive process of Sangay volcano has registered high to very high levels of activity. According to the report issued by the Geophysical Institute of the National Polytechnic (IGEPN), in the early morning of 20 September 2020, the volcano registered a significant increase in the volcano’s internal and external activity. That day, a strong eruption generated a column of ash 10 kilometres high, from the crater level. The volcanic material reached Guayas, Manabí, and Santa Elena, passing through Los Ríos, Chimborazo, and Bolívar .
The National Risk and Emergency Management Service (SNGRE) reports that the ash fall mostly affected agriculture sectors, affecting some 114,000 hectares of crops, 18,000 farmers and 72,000 heads of livestock. On 25 September, strong rainfall and nearby pyroclastic flows prompted the overflow of the Upano river."
FF-2020-000204-TUN,Flash Flood,Tunisia,2020-09-12,FF,TUN,2020-000204,"Heavy rainfall began around 12 September when Monastir capital of the Monastir Governorate in the center of the country and many other towns around  recorded 47.8 mm of rain in 24 hours., and Sidi Bouzid and many other towns of this governorate 58 mm. During the same period. Mahdia and all belonging localities recorded more than 40 mm of rain in 24 hours during 3 separate days. Kairouan recorded 89 mm of rain. Kef governorate registered similar amounts of rain especially in Sers locality."
